Ecoregions;Insect_Density;SumNat_PFC;Habitat_Heterogeneity;Pred_Density_Insect;lower_Density_Insect;upperr_Density_Insect
NAP;434;1.300543977;1.519;5.76389804;5.615359843;5.912436237
TPL;554;0.663157646;;;;
UMW;531;0.690016276;;;;
NAP;396;1.300543977;;;;
SAP;17;1.175068282;;;;
SAP;211;1.175068282;;;;
UMW;348;1.088081867;;;;
SAP;445;1.311994299;;;;
WMT;406;1.345317136;;;;
TPL;500;1.407765383;;;;
WMT;262;1.387530393;;;;
SAP;63;1.188619689;;;;
SAP;95;1.214998598;;;;
SAP;357;1.006842803;;;;
UMW;264;0.859022857;;;;
UMW;387;1.214998598;;;;
SAP;262;1.323269799;;;;
WMT;489;1.118230172;;;;
WMT;441;1.277096581;;;;
TPL;227;0.635285246;;;;
TPL;50;0.971668015;;;;
CPL;287;0.811359163;;;;
WMT;502;0.895854746;;;;
XER;32;1.072533273;;;;
WMT;441;1.240467706;;;;
NAP;251;0.989464803;;;;
WMT;444;1.417678699;;;;
TPL;414;0.477554166;;;;
TPL;70;0.854814692;;;;
CPL;88;0.915550072;;;;
CPL;250;0.765185945;;;;
NAP;439;1.103309848;;;;
SAP;477;1.170953893;;;;
NAP;299;1.397717188;;;;
SAP;380;1.040418172;;;;
SAP;441;1.214998598;;;;
NAP;355;1.040418172;;;;
NAP;500;1.118230173;;;;
CPL;500;0.971668015;;;;
SAP;383;1.023821273;;;;
TPL;383;1.161263564;;;;
CPL;25;0.934733772;;;;
WMT;473;1.240467706;;;;
NAP;445;0.788633341;;;;
NAP;478;1.086982044;;;;
CPL;322;0.989464802;;;;
NAP;452;1.103309848;;;;
UMW;19;1.056650275;;;;
TPL;101;0.915550072;;;;
TPL;77;1.118230173;;;;
UMW;146;1.040418172;;;;
UMW;387;0.971668015;;;;
NAP;370;1.20082709;;;;
SAP;487;0.765185945;;;;
WMT;397;1.416693334;;;;
SAP;247;0.788633341;;;;
WMT;171;1.214998598;;;;
CPL;488;0.833406499;;;;
NPL;249;0.788633341;;;;
CPL;403;1.132855026;;;;
NAP;411;0.953431756;;;;
TPL;221;1.446644409;;;;
SPL;1;0.934733772;;;;
SAP;389;1.023821273;;;;
NAP;520;1.302464735;;;;
TPL;243;0.57617123;;;;
TPL;5;0.788633341;;;;
WMT;470;1.18051872;;;;
WMT;419;1.417678699;;;;
TPL;252;1.175068282;;;;
TPL;53;1.103309848;;;;
CPL;149;0.953431757;;;;
SAP;280;0.44152112;;;;
TPL;442;0.477554166;;;;
XER;386;0.663157646;;;;
SAP;346;1.175068282;;;;
TPL;103;0.989464802;;;;
UMW;142;0.544739638;;;;
UMW;91;0.915550072;;;;
CPL;975;1.110807689;;;;
CPL;68;1.110807689;;;;
CPL;120;0.971668015;;;;
WMT;589;0.971668015;;;;
NAP;49;0.989464802;;;;
NAP;125;0.854814692;;;;
XER;128;1.265087683;;;;
NAP;470;1.427460708;;;;
NAP;688;1.265087683;;;;
WMT;484;1.311994299;;;;
WMT;148;0.934733772;;;;
SAP;311;0.915550072;;;;
SAP;285;0.953431757;;;;
SAP;36;0.715932301;;;;
TPL;62;0.36370912;;;;
TPL;11;0.064260594;;;;
UMW;60;0.788633341;;;;
UMW;5;0.562864007;;;;
XER;1126;1.201926913;;;;
SAP;430;0.606319536;;;;
SAP;364;1.147195883;;;;
SAP;479;1.161263564;;;;
CPL;417;1.161263564;;;;
SAP;41;1.006842803;;;;
SPL;413;1.356098801;;;;
WMT;66;0.971668015;;;;
WMT;247;0.740969646;;;;
SAP;305;1.161263564;;;;
CPL;6;1.023821273;;;;
CPL;252;1.288913328;;;;
WMT;1022;0.875619756;;;;
WMT;362;0.915550072;;;;
WMT;483;1.357168361;;;;
CPL;182;0.606319536;;;;
CPL;97;0.934733772;;;;
SAP;478;1.175068282;;;;
WMT;472;0.765185945;;;;
CPL;240;1.118230172;;;;
WMT;434;1.334375737;;;;
WMT;148;1.483578651;;;;
WMT;106;1.483578651;;;;
