Ecoregions;Insect_Richness;SumNat_PFC;Habitat_Heterogeneity;Pred_Richness_Insect;lower_Richness_Insect;upperr_Richness_Insect
SAP;41;1.323269799;1.181;5.326738225;5.189913422;5.463563028
NAP;33;0.8334065;1.183;5.328888276;5.191965359;5.465811193
WMT;33;1.118230173;1.185;5.331038327;5.194016429;5.468060226
CPL;28;0.934733772;1.187;5.333188379;5.196066634;5.470310123
NAP;37;1.298232454;1.189;5.33533843;5.198115976;5.472560884
SAP;46;1.147195883;1.198;5.345013661;5.207327381;5.48269994
WMT;52;1.265087683;1.201;5.348238738;5.210394004;5.486083472
WMT;55;1.214998598;1.202;5.349313763;5.211415786;5.487211741
NAP;47;1.188619689;1.205;5.35253884;5.21447986;5.49059782
CPL;5;1.300543977;1.206;5.353613866;5.215500795;5.491726936
TPL;21;0.953431757;1.208;5.355763917;5.217542032;5.493985803
SAP;37;0.788633341;1.209;5.356838943;5.218562334;5.495115552
TPL;20;1.056650275;1.211;5.358988994;5.220602307;5.497375682
SAP;38;0.663157646;1.212;5.36006402;5.221621978;5.498506061
SAP;17;0.915550072;1.213;5.361139045;5.22264144;5.499636651
SAP;39;1.147195883;1.215;5.363289097;5.224679735;5.501898458
SAP;8;0.854814692;1.218;5.366514174;5.227735611;5.505292736
SAP;22;0.915550072;1.221;5.36973925;5.230789614;5.508688887
SAP;25;1.040418172;1.225;5.374039353;5.234858714;5.513219992
UMW;46;1.188619689;1.226;5.375114379;5.235875473;5.514353284
NAP;42;1.446644409;1.227;5.376189404;5.236892025;5.515486783
NAP;39;1.204851791;1.228;5.37726443;5.237908372;5.516620488
WMT;25;0.854814692;1.232;5.381564532;5.241971705;5.52115736
NAP;37;1.023821273;1.233;5.382639558;5.242987026;5.52229209
SAP;28;0.690016276;1.234;5.383714584;5.244002143;5.523427025
SAP;28;1.288913328;1.236;5.385864635;5.246031764;5.525697506
CPL;15;1.023821273;1.238;5.388014686;5.248060572;5.527968801
CPL;23;0.715932302;1.239;5.389089712;5.249074671;5.529104753
TPL;21;1.040418172;1.24;5.390164738;5.250088568;5.530240907
WMT;21;1.382383815;1.242;5.392314789;5.252115754;5.532513824
NAP;51;0.953431757;1.243;5.393389815;5.253129044;5.533650585
NAP;59;0.715932302;1.245;5.395539866;5.255155019;5.535924713
UMW;29;1.132855025;1.248;5.398764943;5.258192474;5.539337412
UMW;18;1.166816454;1.249;5.399839968;5.259204558;5.540475379
CPL;25;0.875619756;1.252;5.403065045;5.26223961;5.54389048
CPL;21;1.072533273;1.253;5.404140071;5.263250896;5.545029246
CPL;30;0.934733772;1.254;5.405215097;5.264261982;5.546168211
WMT;30;1.118230173;1.255;5.406290122;5.26527287;5.547307374
SAP;19;1.161263564;1.257;5.408440173;5.26729405;5.549586296
TPL;12;0.576171231;1.259;5.410590225;5.269314439;5.55186601
TPL;22;1.240467706;1.261;5.412740276;5.271334039;5.554146513
UMW;35;0.854814692;1.263;5.414890327;5.273352851;5.556427803
XER;9;0.765185945;1.264;5.415965353;5.274361963;5.557568743
XER;28;1.023821273;1.265;5.417040379;5.275370878;5.558709879
NAP;29;1.056650275;1.266;5.418115404;5.276379598;5.55985121
NAP;14;0.715932301;1.269;5.421340481;5.279404587;5.563276375
