Ecoregions;Insect_Replacement;SumNat_PFC;Habitat_Heterogeneity;Pred_Replacement_Insect;lower_Replacement_Insect;upperr_Replacement_Insect
CPL;0.000970369;1.103309848;1.047;-10.01026172;-10.34471302;-9.675810432
XER;0.001899304;1.161263564;1.048;-10.00988198;-10.34433652;-9.675427441
TPL;7.93E-05;0.971668015;1.05;-10.0091225;-10.34358367;-9.674661331
SAP;0.001175915;0.544739638;1.053;-10.00798328;-10.34245471;-9.673511845
SAP;0.001595604;0.690016276;1.054;-10.00760354;-10.34207848;-9.673128596
WMT;0.00182808;1.300543977;1.055;-10.0072238;-10.34170229;-9.672745305
SAP;0.00116583;1.132855026;1.057;-10.00646431;-10.34095004;-9.671978594
CPL;0.000659841;1.137666319;1.06;-10.00532509;-10.33982198;-9.670828205
SAP;0.000585273;1.147195883;1.062;-10.00456561;-10.33907016;-9.670061064
SAP;0.001591581;0.971668015;1.063;-10.00418587;-10.33869431;-9.669677429
SAP;0.000914313;0.854814692;1.064;-10.00380613;-10.3383185;-9.669293751
SAP;0.000660796;1.201926913;1.065;-10.00342639;-10.33794274;-9.668910031
UMW;0.001016271;0.811359162;1.068;-10.00228716;-10.33681572;-9.66775861
UMW;0.001134891;1.132855025;1.069;-10.00190742;-10.33644013;-9.667374718
NAP;0.00103006;0.903796016;1.071;-10.00114794;-10.33568908;-9.666606804
NAP;0.001262575;0.57617123;1.073;-10.00038846;-10.3349382;-9.665838718
SAP;0.001539206;1.147195882;1.074;-10.00000872;-10.33456283;-9.665454611
SAP;0.000907907;0.606319536;1.077;-9.998869496;-10.33343696;-9.664302031
WMT;0.001210097;1.118230173;1.079;-9.998110014;-10.3326866;-9.66353343
CPL;0.001024218;1.201926913;1.08;-9.997730273;-10.33231148;-9.663149066
WMT;0.001077622;1.323269799;1.083;-9.996591051;-10.33118639;-9.661995713
CPL;0.000985843;0.635285246;1.085;-9.995831569;-10.33043654;-9.661226597
CPL;0.000311104;0.953431757;1.087;-9.995072087;-10.32968686;-9.66045731
TPL;0.001032165;0.788633341;1.088;-9.994692346;-10.32931209;-9.660072601
SAP;0.001464216;1.311994298;1.09;-9.993932864;-10.32856267;-9.659303056
CPL;0.000341823;0.064260594;1.091;-9.993553123;-10.32818803;-9.658918219
SAP;0.000341181;0.403639436;1.093;-9.992793641;-10.32743887;-9.658148417
SAP;0.000933646;1.132855025;1.094;-9.9924139;-10.32706435;-9.657763451
TPL;0.000861447;0.875619757;1.097;-9.991274678;-10.32594106;-9.656608297
WMT;0.000971938;1.259009205;1.098;-9.990894937;-10.32556671;-9.656223159
XER;0.001823788;1.437114845;1.099;-9.990515196;-10.32519241;-9.655837979
CPL;0.000661799;1.147195883;1.102;-9.989375973;-10.32406976;-9.654682181
SAP;0.001604622;0.690016276;1.103;-9.988996232;-10.32369563;-9.65429683
TPL;0.001094338;0.915550072;1.104;-9.988616491;-10.32332155;-9.653911435
SAP;0.000917959;0.811359163;1.106;-9.987857009;-10.3225735;-9.653140517
TPL;0.000355797;0.668608083;1.108;-9.987097527;-10.32182563;-9.652369428
CPL;0.000848658;1.201926913;1.111;-9.985958305;-10.32070414;-9.651212473
WMT;0.001357889;0.989464802;1.112;-9.985578564;-10.32033039;-9.650826735
NAP;0.001289959;0.971668015;1.115;-9.984439341;-10.31920942;-9.649669265
TPL;3.78E-05;0.915550072;1.117;-9.983679859;-10.31846231;-9.648897405
WMT;0.001398041;0.875619756;1.118;-9.983300118;-10.31808883;-9.64851141
NAP;0.001815655;1.245457799;1.12;-9.982540636;-10.31734198;-9.647739292
SAP;0.001550476;0.635285247;1.121;-9.982160895;-10.31696862;-9.647353169
WMT;0.000820045;0.989464802;1.124;-9.981021673;-10.3158488;-9.646194542
WMT;0.000791132;1.240467706;1.125;-9.980641932;-10.31547562;-9.645808248
NAP;0.001471438;0.715932301;1.126;-9.980262191;-10.31510247;-9.645421911
WMT;0.002054095;1.056650275;1.127;-9.97988245;-10.31472937;-9.64503553
WMT;0.001171355;1.323269799;1.128;-9.979502709;-10.31435631;-9.644649107
SAP;0.000991933;0.989464802;1.129;-9.979122968;-10.31398329;-9.644262641
