Ecoregions;Fish_Richness;SumNat_PFC;Habitat_Heterogeneity;Pred_Richness_Fish;lower_Richness_Fish;upperr_Richness_Fish
UMW;22;1.049128374;1.195;3.104577182;2.887277543;3.321876821
UMW;21;0.886340454;1.205;3.110134858;2.892531118;3.327738599
TPL;11;0.79274021;1.207;3.111246394;2.893580233;3.328912554
UMW;18;1.124053444;1.208;3.111802161;2.894104591;3.329499731
UMW;15;0.547576413;1.211;3.113469464;2.895676868;3.33126206
TPL;8;1.221325798;1.212;3.114025232;2.896200694;3.331849769
UMW;11;0.480041067;1.215;3.115692535;2.897771377;3.333613692
UMW;22;0.958396827;1.217;3.11680407;2.898817837;3.334790303
UMW;19;1.078118574;1.219;3.117915605;2.899863766;3.335967444
UMW;21;1.23103021;1.221;3.11902714;2.900909166;3.337145115
UMW;17;0.76917071;1.224;3.120694443;2.902476274;3.338912612
UMW;17;1.134374639;1.231;3.124584817;2.906128242;3.343041391
TPL;16;0.666611091;1.232;3.125140584;2.906649425;3.343631744
UMW;10;0.981240995;1.233;3.125696352;2.907170476;3.344222228
UMW;20;0.719660575;1.234;3.12625212;2.907691396;3.344812843
TPL;17;0.69360959;1.239;3.129030958;2.910294025;3.34776789
SAP;17;1.283747162;1.241;3.130142493;2.911334159;3.348950828
TPL;7;1.045836231;1.243;3.131254028;2.912373768;3.350134288
SAP;24;1.271675727;1.245;3.132365564;2.913412854;3.351318273
TPL;3;0.638593544;1.246;3.132921331;2.913932201;3.351910461
SAP;30;0.769170711;1.247;3.133477099;2.914451418;3.35250278
TPL;7;0.994617518;1.248;3.134032866;2.914970504;3.353095229
TPL;7;0.514576451;1.249;3.134588634;2.915489459;3.353687809
TPL;9;0.994617518;1.252;3.136255937;2.917045542;3.355466332
TPL;6;0.839926785;1.254;3.137367472;2.91808228;3.356652665
TPL;4;0.920317871;1.256;3.138479008;2.919118497;3.357839518
SAP;6;0.638593544;1.258;3.139590543;2.920154194;3.359026891
CPL;30;0.514576452;1.259;3.14014631;2.920671848;3.359620773
CPL;35;0.859266206;1.261;3.141257846;2.921706766;3.360808925
CPL;29;0.230251853;1.263;3.142369381;2.922741166;3.361997596
CPL;36;0.859266207;1.266;3.144036684;2.924291795;3.363781573
CPL;16;0.547576413;1.268;3.145148219;2.9253249;3.364971538
CPL;26;0.230251853;1.269;3.145703987;2.925841259;3.365566714
CPL;28;0.69360959;1.27;3.146259754;2.926357489;3.366162019
CPL;30;0.792740211;1.272;3.14737129;2.927389562;3.367353017
CPL;25;0.230251853;1.273;3.147927057;2.927905405;3.367948709
CPL;26;0.365603164;1.275;3.149038593;2.928936705;3.36914048
CPL;29;0.958396827;1.277;3.150150128;2.92996749;3.370332765
CPL;27;0.579171687;1.278;3.150705895;2.93048269;3.370929101
CPL;28;0.230251853;1.279;3.151261663;2.930997762;3.371525565
CPL;32;0.837746529;1.28;3.151817431;2.931512704;3.372122157
NPL;3;1.394756066;1.284;3.154040501;2.933571194;3.374509809
WMT;21;1.444598733;1.286;3.155152036;2.93459967;3.375704403
WMT;20;1.434894322;1.288;3.156263572;2.935627634;3.376899509
WMT;2;1.158926196;1.289;3.156819339;2.936141425;3.377497254
WMT;1;1.181187542;1.293;3.15904241;2.938195311;3.379889508
NPL;3;0.69360959;1.294;3.159598178;2.938708464;3.380487891
NPL;7;0.859266207;1.296;3.160709713;2.939734389;3.381685037
NPL;3;1.259404755;1.299;3.162377016;2.941272321;3.38348171
WMT;3;1.283747162;1.305;3.165711621;2.944344762;3.387078481
WMT;1;1.289405433;1.307;3.166823157;2.945367896;3.388278417
NPL;11;1.341324603;1.309;3.167934692;2.946390525;3.389478859
NPL;4;1.153169995;1.31;3.16849046;2.94690165;3.390079269
NPL;6;0.744828304;1.318;3.172936601;2.950986118;3.394887083
WMT;30;1.415096431;1.319;3.173492368;2.951496111;3.395488625
WMT;5;1.012086015;1.32;3.174048136;2.952005979;3.396090293
NPL;28;1.463635081;1.33;3.179605812;2.957097775;3.40211385
NPL;13;0.744828303;1.341;3.185719256;2.962684369;3.408754144
TPL;11;1.181187542;1.342;3.186275024;2.963191497;3.40935855
TPL;11;0.90051998;1.351;3.191276933;2.967750103;3.414803762
NPL;8;1.10905542;1.352;3.1918327;2.968255999;3.415409401
NPL;6;0.443820376;1.353;3.192388468;2.968761773;3.416015163
TPL;14;0.680233068;1.355;3.193500003;2.969772952;3.417227054
NPL;2;1.029152902;1.36;3.196278841;2.972298758;3.420258924
NPL;5;0.994617518;1.363;3.197946144;2.973812775;3.422079513
NPL;2;0.90051998;1.367;3.200169215;2.97582976;3.424508669
NPL;6;0.792740211;1.369;3.20128075;2.976837523;3.425723977
NPL;4;0.939601471;1.37;3.201836517;2.977341222;3.426331813
NPL;4;0.976728052;1.374;3.204059588;2.979354807;3.428764369
NPL;12;0.744828304;1.378;3.206282659;2.981366458;3.431198859
NPL;10;1.093748138;1.384;3.209617264;2.984380318;3.434854211
NPL;13;1.10905542;1.389;3.212396102;2.986888565;3.43790364
NPL;4;0.547576413;1.39;3.21295187;2.987389855;3.438513885
TPL;6;1.062152864;1.394;3.215174941;2.989393822;3.44095606
NPL;11;1.045836231;1.395;3.215730708;2.989894515;3.441566902
TPL;12;0.859266207;1.396;3.216286476;2.990395089;3.442177863
NPL;4;0.815584379;1.399;3.217953779;2.991896098;3.44401146
NPL;2;1.029152903;1.405;3.221288385;2.994894911;3.447681858
NPL;6;0.920317871;1.415;3.226846061;2.999883483;3.453808639
TPL;5;0.994617518;1.425;3.232403737;3.004860319;3.459947155
NPL;6;1.138754457;1.435;3.237961414;3.00982551;3.466097317
NPL;12;0.609476993;1.445;3.24351909;3.014779146;3.472259034
TPL;6;0.709349619;1.454;3.248520999;3.019227614;3.477814383
NPL;8;0.609476993;1.462;3.25296714;3.023174066;3.482760213
NPL;10;0.487077867;1.464;3.254078675;3.024159547;3.483997803
NPL;11;0.837746529;1.471;3.257969048;3.027605178;3.488332919
TPL;9;0.704139935;1.473;3.259080584;3.028588632;3.489572535
NPL;2;0.92031787;1.482;3.264082492;3.033008642;3.495156342
NPL;7;0.769170711;1.491;3.269084401;3.037419645;3.500749157
NPL;18;0.842100658;1.501;3.274642077;3.042310279;3.506973876
TPL;9;0.579171687;1.509;3.279088218;3.046214904;3.511961532
TPL;17;0.79274021;1.518;3.284090127;3.050599299;3.517580955
SPL;2;1.21478499;1.527;3.289092036;3.054974963;3.523209108
