Ecoregions;Fish_Replacement;SumNat_PFC;Habitat_Heterogeneity;Pred_Replacement_Fish;lower_Replacement_Fish;upperr_Replacement_Fish
CPL;0.001998578;1.259404755;1.096;-9.840177841;-10.10758253;-9.572773148
CPL;0.001946248;1.246927538;1.098;-9.837984862;-10.10541632;-9.570553401
SAP;0.001906245;1.045836231;1.1;-9.835791883;-10.10325055;-9.568333214
SAP;0.001534222;1.179811496;1.103;-9.832502414;-10.10000272;-9.565002111
NAP;0.002017572;1.259404755;1.104;-9.831405925;-10.09892033;-9.563891523
NAP;0.001304008;1.138754457;1.105;-9.830309435;-10.09783804;-9.562780826
NAP;0.001816029;0.958396827;1.108;-9.827019967;-10.09459186;-9.559448076
NAP;0.001554411;0.880179615;1.109;-9.825923477;-10.09351001;-9.558336939
NAP;0.001950853;1.153169995;1.11;-9.824826988;-10.09242828;-9.557225694
NAP;0.001806732;1.307316662;1.112;-9.822634008;-10.09026514;-9.555002873
NAP;0.001680981;1.259404755;1.114;-9.820441029;-10.08810244;-9.552779614
NAP;0.001232848;1.221325798;1.117;-9.817151561;-10.08485922;-9.549443903
NAP;0.001856756;1.234237026;1.118;-9.816055071;-10.08377836;-9.548331781
NAP;0.00177652;1.434894322;1.121;-9.812765603;-10.08053645;-9.544994756
NAP;0.001722252;0.958396827;1.123;-9.810572624;-10.07837572;-9.542769526
NAP;0.001892705;0.815584379;1.124;-9.809476134;-10.07729552;-9.541656746
NAP;0.001982359;0.579171687;1.125;-9.808379644;-10.07621543;-9.540543858
NAP;0.00155214;1.039207822;1.126;-9.807283155;-10.07513545;-9.53943086
NAP;0.00188405;0.939601472;1.13;-9.802897197;-10.07081662;-9.534977774
NAP;0.001841037;1.341324603;1.131;-9.801800707;-10.06973719;-9.533864229
NAP;0.00197652;1.454177923;1.133;-9.799607728;-10.06757864;-9.531636812
NAP;0.002069676;0.939601471;1.134;-9.798511239;-10.06649954;-9.53052294
NAP;0.001996022;0.792740211;1.135;-9.797414749;-10.06542054;-9.529408958
NAP;0.002015137;0.945290211;1.137;-9.79522177;-10.06326287;-9.527180668
NAP;0.002029006;1.208186041;1.139;-9.793028791;-10.06110564;-9.524951941
UMW;0.00166221;1.208186041;1.144;-9.787546343;-10.05571447;-9.519378215
UMW;0.001196794;0.880179614;1.146;-9.785353364;-10.05355877;-9.517147962
TPL;0.001709591;0.920317871;1.148;-9.783160385;-10.0514035;-9.514917273
UMW;0.001582829;1.045836231;1.152;-9.778774427;-10.04709426;-9.510454589
TPL;0.001687615;0.792740211;1.153;-9.777677937;-10.04601723;-9.509338646
UMW;0.001149517;1.079696421;1.159;-9.771099;-10.0395573;-9.502640705
UMW;0.001214568;1.093748138;1.167;-9.762327084;-10.03095013;-9.493704036
UMW;0.001779766;1.085974487;1.172;-9.756844636;-10.02557418;-9.488115094
TPL;0.001686328;0.859266207;1.173;-9.755748147;-10.02449931;-9.48699698
TPL;0.001988249;0.69360959;1.175;-9.753555168;-10.02234991;-9.484760429
UMW;0.001434081;1.153169995;1.177;-9.751362189;-10.02020093;-9.482523444
UMW;0.001901762;1.049128374;1.178;-9.750265699;-10.01912661;-9.48140479
UMW;0.001510381;0.969449789;1.18;-9.74807272;-10.01697828;-9.479167156
UMW;0.001504858;0.976728052;1.181;-9.74697623;-10.01590428;-9.478048178
UMW;0.001817642;1.079170844;1.182;-9.745879741;-10.01483039;-9.476929091
UMW;0.001917655;0.983487221;1.189;-9.738204314;-10.00731617;-9.469092461
UMW;0.002043329;1.132908939;1.191;-9.736011335;-10.00517022;-9.466852452
UMW;0.001824011;1.293264944;1.193;-9.733818356;-10.0030247;-9.464612013
UMW;0.001512568;1.049128374;1.195;-9.731625377;-10.00087961;-9.462371143
UMW;0.001420729;0.886340454;1.205;-9.720660482;-9.990160624;-9.451160339
TPL;0.001986382;0.79274021;1.207;-9.718467502;-9.988018116;-9.448916889
UMW;0.001537201;1.124053444;1.208;-9.717371013;-9.986947023;-9.447795003
UMW;0.001770482;0.547576413;1.211;-9.714081544;-9.983734387;-9.444428702
TPL;0.001776457;1.221325798;1.212;-9.712985055;-9.982663723;-9.443306387
UMW;0.001962583;0.480041067;1.215;-9.709695586;-9.979452373;-9.4399388
UMW;0.001438772;0.958396827;1.217;-9.707502607;-9.977312008;-9.437693206
UMW;0.0015353;1.078118574;1.219;-9.705309628;-9.975172071;-9.435447185
UMW;0.00133332;1.23103021;1.221;-9.703116649;-9.973032562;-9.433200736
UMW;0.001746242;0.76917071;1.224;-9.69982718;-9.9698241;-9.429830261
UMW;0.00165183;1.134374639;1.231;-9.692151754;-9.962341424;-9.421962084
TPL;0.001902669;0.666611091;1.232;-9.691055264;-9.961272896;-9.420837632
UMW;0.001669214;0.981240995;1.233;-9.689958775;-9.960204475;-9.419713074
UMW;0.001678307;0.719660575;1.234;-9.688862285;-9.959136161;-9.418588409
TPL;0.001804885;0.69360959;1.239;-9.683379837;-9.953796185;-9.41296349
SAP;0.001934135;1.283747162;1.241;-9.681186858;-9.951660939;-9.410712778
TPL;0.001681164;1.045836231;1.243;-9.678993879;-9.949526117;-9.408461641
