Ecoregions;Fish_Density;SumNat_PFC;Habitat_Heterogeneity;Pred_Density_Fish;lower_Density_Fish;upperr_Density_Fish
UMW;473;1.124053444;1.208;4.80582625;4.541457452;5.070195048
UMW;515;0.547576413;1.211;4.807488555;4.542972718;5.072004392
TPL;1321;1.221325798;1.212;4.808042657;4.5434774;5.072607914
UMW;564;0.480041067;1.215;4.809704962;4.544990225;5.074419699
UMW;552;0.958396827;1.217;4.810813166;4.54599776;5.075628571
UMW;678;1.078118574;1.219;4.811921369;4.547004484;5.076838254
UMW;750;1.23103021;1.221;4.813029573;4.548010398;5.078048748
UMW;359;0.76917071;1.224;4.814691878;4.549517751;5.079866005
UMW;491;1.134374639;1.231;4.81857059;4.553027846;5.084113334
TPL;327;0.666611091;1.232;4.819124692;4.553528483;5.084720901
UMW;742;0.981240995;1.233;4.819678794;4.554028918;5.085328669
UMW;627;0.719660575;1.234;4.820232895;4.554529153;5.085936637
TPL;306;0.69360959;1.239;4.823003404;4.557027319;5.08897949
SAP;258;1.283747162;1.241;4.824111608;4.558025183;5.090198032
TPL;26;1.045836231;1.243;4.825219811;4.559022248;5.091417375
SAP;503;1.271675727;1.245;4.826328015;4.560018514;5.092637515
TPL;11;0.638593544;1.246;4.826882116;4.560516348;5.093247885
SAP;344;0.769170711;1.247;4.827436218;4.561013982;5.093858454
TPL;163;0.994617518;1.248;4.82799032;4.561511418;5.094469222
TPL;16;0.514576451;1.249;4.828544421;4.562008655;5.095080188
TPL;122;0.994617518;1.252;4.830206727;4.563499171;5.096914282
TPL;52;0.839926785;1.254;4.83131493;4.564491857;5.098138004
TPL;267;0.920317871;1.256;4.832423134;4.565483749;5.099362518
SAP;94;0.638593544;1.258;4.833531337;4.566474849;5.100587825
CPL;601;0.514576452;1.259;4.834085439;4.566970103;5.101200775
CPL;827;0.859266206;1.261;4.835193642;4.567960017;5.102427267
CPL;632;0.230251853;1.263;4.836301846;4.568949142;5.103654549
CPL;1265;0.859266207;1.266;4.837964151;4.570431353;5.10549695
CPL;164;0.547576413;1.268;4.839072355;4.571418509;5.1067262
CPL;528;0.230251853;1.269;4.839626456;4.571911793;5.10734112
CPL;292;0.69360959;1.27;4.840180558;4.57240488;5.107956236
CPL;369;0.792740211;1.272;4.841288762;4.573390467;5.109187057
CPL;746;0.230251853;1.273;4.841842863;4.573882966;5.109802761
CPL;538;0.365603164;1.275;4.842951067;4.574867378;5.111034756
CPL;640;0.958396827;1.277;4.84405927;4.575851007;5.112267533
CPL;465;0.579171687;1.278;4.844613372;4.57634253;5.112884215
CPL;1369;0.230251853;1.279;4.845167474;4.576833857;5.113501091
CPL;653;0.837746529;1.28;4.845721576;4.577324989;5.114118162
NPL;60;1.394756066;1.284;4.847937982;4.579287571;5.116588394
WMT;4;1.444598733;1.286;4.849046186;4.580267696;5.117824676
WMT;123;1.434894322;1.288;4.850154389;4.581247046;5.119061733
WMT;19;1.158926196;1.289;4.850708491;4.58173643;5.119680553
WMT;44;1.181187542;1.293;4.852924898;4.583692033;5.122157764
NPL;105;0.69360959;1.294;4.853479;4.584180451;5.122777549
NPL;29;0.859266207;1.296;4.854587203;4.585156708;5.124017699
NPL;52;1.259404755;1.299;4.856249509;4.586619651;5.125879366
WMT;74;1.283747162;1.305;4.859574119;4.589540353;5.129607885
WMT;8;1.289405433;1.307;4.860682323;4.590512389;5.130852256
NPL;62;1.341324603;1.309;4.861790526;4.591483661;5.132097391
NPL;23;1.153169995;1.31;4.862344628;4.591969011;5.132720244
NPL;169;0.744828304;1.318;4.866777442;4.595844964;5.137709919
WMT;82;1.415096431;1.319;4.867331543;4.596328605;5.138334482
WMT;45;1.012086015;1.32;4.867885645;4.596812056;5.138959235
NPL;59;1.463635081;1.33;4.873426663;4.601636195;5.14521713
NPL;162;0.744828303;1.341;4.879521782;4.60692109;5.152122473
TPL;814;1.181187542;1.342;4.880075884;4.607400417;5.15275135
TPL;122;0.90051998;1.351;4.885062799;4.611706016;5.158419582
NPL;52;1.10905542;1.352;4.885616901;4.612183492;5.15905031
NPL;108;0.443820376;1.353;4.886171003;4.612660784;5.159681221
TPL;528;0.680233068;1.355;4.887279206;4.613614816;5.160943597
NPL;17;1.029152902;1.36;4.890049715;4.615996682;5.164102747
NPL;33;0.994617518;1.363;4.89171202;4.617423606;5.166000435
NPL;2;0.90051998;1.367;4.893928427;4.619323616;5.168533238
NPL;97;0.792740211;1.369;4.895036631;4.620272529;5.169800732
NPL;16;0.939601471;1.37;4.895590732;4.620746713;5.170434751
NPL;39;0.976728052;1.374;4.897807139;4.622641638;5.17297264
NPL;63;0.744828304;1.378;4.900023546;4.624533671;5.175513421
NPL;159;1.093748138;1.384;4.903348157;4.62736632;5.179329993
NPL;55;1.10905542;1.389;4.906118665;4.629721933;5.182515398
NPL;44;0.547576413;1.39;4.906672767;4.63019252;5.183153014
TPL;21;1.062152864;1.394;4.908889174;4.632073088;5.185705261
NPL;215;1.045836231;1.395;4.909443276;4.632542785;5.186343766
TPL;153;0.859266207;1.396;4.909997378;4.633012306;5.18698245
NPL;11;0.815584379;1.399;4.911659683;4.634419804;5.188899562
NPL;4;1.029152903;1.405;4.914984293;4.637230033;5.192738554
NPL;264;0.920317871;1.415;4.920525311;4.641899707;5.199150915
TPL;19;0.994617518;1.425;4.926066328;4.646551971;5.205580686
NPL;102;1.138754457;1.435;4.931607346;4.651186991;5.212027701
NPL;266;0.609476993;1.445;4.937148363;4.655804933;5.218491793
TPL;63;0.709349619;1.454;4.942135279;4.659946618;5.224323939
NPL;55;0.609476993;1.462;4.946568093;4.663616717;5.229519469
NPL;820;0.487077867;1.464;4.947676296;4.664532576;5.230820017
NPL;171;0.837746529;1.471;4.951555008;4.667732865;5.235377152
TPL;74;0.704139935;1.473;4.952663212;4.668645748;5.236680675
NPL;55;0.92031787;1.482;4.957650127;4.672745607;5.242554648
NPL;64;0.769170711;1.491;4.962637043;4.676832276;5.24844181
NPL;305;0.842100658;1.501;4.968178061;4.681357701;5.25499842
TPL;126;0.579171687;1.509;4.972610875;4.684966541;5.260255208
TPL;59;0.79274021;1.518;4.97759779;4.689014387;5.266181194
SPL;20;1.21478499;1.527;4.982584706;4.69304954;5.272119871
SPL;200;0.744828303;;;;
NPL;12;1.283747161;;;;
SPL;563;0.815584379;;;;
SPL;85;0.638593544;;;;
SPL;65;0.994617518;;;;
NPL;245;0.976728052;;;;
SPL;220;1.045836231;;;;
SPL;154;1.045836231;;;;
SPL;237;0.666611092;;;;
SPL;426;1.051286322;;;;
NPL;145;0.880179615;;;;
SPL;355;1.109055421;;;;
NPL;87;0.837746529;;;;
TPL;310;0.514576452;;;;
NAP;510;0.976728052;;;;
NAP;145;0.744828304;;;;
NAP;282;1.093748138;;;;
NAP;383;1.137297387;;;;
