Ecoregions;Fish_RichnessDiff;SumNat_PFC;Habitat_Heterogeneity;Pred_RichnessDiff_Fish;lower_RichnessDiff_Fish;upperr_RichnessDiff_fish
NAP;0.00105889;1.341324603;1.131;-9.90753905;-10.2060869;-9.608991199
NAP;0.002615974;1.454177923;1.133;-9.908141487;-10.20669917;-9.609583809
NAP;0.000939704;0.939601471;1.134;-9.908442705;-10.20700534;-9.609880067
NAP;0.000913217;0.792740211;1.135;-9.908743924;-10.20731155;-9.610176293
NAP;0.000859094;0.945290211;1.137;-9.909346361;-10.20792407;-9.610768652
NAP;0.000847413;1.208186041;1.139;-9.909948798;-10.20853671;-9.611360884
UMW;0.000981597;1.208186041;1.144;-9.91145489;-10.21006887;-9.612840914
UMW;0.001451387;0.880179614;1.146;-9.912057327;-10.21068195;-9.613432705
TPL;0.001017325;0.920317871;1.148;-9.912659764;-10.21129516;-9.614024371
UMW;0.001025056;1.045836231;1.152;-9.913864637;-10.21252195;-9.615207325
TPL;0.000975041;0.792740211;1.153;-9.914165856;-10.21282873;-9.615502984
UMW;0.001475758;1.079696421;1.159;-9.915973167;-10.21467005;-9.617276281
UMW;0.001401797;1.093748138;1.167;-9.918382914;-10.21712691;-9.619638916
UMW;0.001059314;1.085974487;1.172;-9.919889006;-10.21866347;-9.621114541
TPL;0.000975518;0.859266207;1.173;-9.920190225;-10.21897088;-9.621409572
TPL;0.000862337;0.69360959;1.175;-9.920792662;-10.21958578;-9.621999539
UMW;0.001254542;1.153169995;1.177;-9.921395099;-10.22020082;-9.62258938
UMW;0.000952914;1.049128374;1.178;-9.921696317;-10.22050838;-9.622884253
UMW;0.001182222;0.969449789;1.18;-9.922298754;-10.2211236;-9.623473906
UMW;0.001084092;0.976728052;1.181;-9.922599972;-10.22143126;-9.623768685
UMW;0.000997749;1.079170844;1.182;-9.922901191;-10.22173895;-9.624063433
UMW;0.0008901;0.983487221;1.189;-9.92500972;-10.22389365;-9.626125788
UMW;0.00085243;1.132908939;1.191;-9.925612157;-10.22450956;-9.62671475
UMW;0.000962553;1.293264944;1.193;-9.926214594;-10.2251256;-9.627303586
UMW;0.0012291;1.049128374;1.195;-9.926817031;-10.22574176;-9.627892297
UMW;0.00119591;0.886340454;1.205;-9.929829215;-10.22882446;-9.630833966
TPL;0.000896824;0.79274021;1.207;-9.930431652;-10.22944138;-9.631421924
UMW;0.001066434;1.124053444;1.208;-9.93073287;-10.22974989;-9.631715856
UMW;0.00092494;0.547576413;1.211;-9.931636526;-10.23067559;-9.632597463
TPL;0.001069152;1.221325798;1.212;-9.931937744;-10.23098422;-9.632891269
UMW;0.000915331;0.480041067;1.215;-9.932841399;-10.2319103;-9.6337725
UMW;0.001254328;0.958396827;1.217;-9.933443836;-10.23252784;-9.63435983
UMW;0.001115425;1.078118574;1.219;-9.934046273;-10.23314551;-9.634947035
UMW;0.001261029;1.23103021;1.221;-9.93464871;-10.23376331;-9.635534115
UMW;0.000967593;0.76917071;1.224;-9.935552365;-10.23469023;-9.6364145
UMW;0.00098013;1.134374639;1.231;-9.937660895;-10.23685415;-9.638467635
TPL;0.000918093;0.666611091;1.232;-9.937962113;-10.23716341;-9.638760815
UMW;0.000991381;0.981240995;1.233;-9.938263331;-10.2374727;-9.639053963
UMW;0.001100109;0.719660575;1.234;-9.93856455;-10.23778202;-9.639347081
TPL;0.000980226;0.69360959;1.239;-9.940070642;-10.23932909;-9.640812197
SAP;0.000952098;1.283747162;1.241;-9.940673079;-10.23994813;-9.641398025
TPL;0.00117253;1.045836231;1.243;-9.941275516;-10.2405673;-9.641983727
SAP;0.001381421;1.271675727;1.245;-9.941877953;-10.2411866;-9.642569305
TPL;0.002095149;0.638593544;1.246;-9.942179171;-10.2414963;-9.642862046
SAP;0.001765895;0.769170711;1.247;-9.94248039;-10.24180602;-9.643154757
TPL;0.001189735;0.994617518;1.248;-9.942781608;-10.24211578;-9.643447436
TPL;0.001197338;0.514576451;1.249;-9.943082827;-10.24242557;-9.643740084
TPL;0.00100656;0.994617518;1.252;-9.943986482;-10.24335512;-9.644617841
TPL;0.001400869;0.839926785;1.254;-9.944588919;-10.24397498;-9.645202856
TPL;0.001820539;0.920317871;1.256;-9.945191356;-10.24459497;-9.645787745
SAP;0.001318694;0.638593544;1.258;-9.945793793;-10.24521507;-9.64637251
CPL;0.001746349;0.514576452;1.259;-9.946095011;-10.24552518;-9.646664846
CPL;0.002117658;0.859266206;1.261;-9.946697448;-10.24614547;-9.647249423
CPL;0.001673433;0.230251853;1.263;-9.947299885;-10.24676589;-9.647833876
CPL;0.002162947;0.859266207;1.266;-9.94820354;-10.24769676;-9.648710321
CPL;0.000884577;0.547576413;1.268;-9.948805977;-10.24831749;-9.649294461
CPL;0.001464338;0.230251853;1.269;-9.949107195;-10.24862791;-9.649586485
CPL;0.001605749;0.69360959;1.27;-9.949408414;-10.24893835;-9.649878477
CPL;0.00172142;0.792740211;1.272;-9.950010851;-10.24955933;-9.650462368
CPL;0.001398635;0.230251853;1.273;-9.950312069;-10.24986987;-9.650754266
CPL;0.001446469;0.365603164;1.275;-9.950914506;-10.25049104;-9.65133797
CPL;0.001685096;0.958396827;1.277;-9.951516943;-10.25111234;-9.651921549
CPL;0.001527264;0.579171687;1.278;-9.951818161;-10.25142303;-9.652213292
CPL;0.00160793;0.230251853;1.279;-9.95211938;-10.25173376;-9.652505003
CPL;0.001915662;0.837746529;1.28;-9.952420598;-10.25204451;-9.652796684
NPL;0.002142014;1.394756066;1.284;-9.953625472;-10.25328785;-9.653963094
WMT;0.000508766;1.444598733;1.286;-9.954227909;-10.25390971;-9.654546112
WMT;0.00348253;1.434894322;1.288;-9.954830346;-10.25453169;-9.655129005
WMT;0.002621888;1.158926196;1.289;-9.955131564;-10.25484272;-9.655420405
WMT;0.003490989;1.181187542;1.293;-9.956336438;-10.25608718;-9.656585693
NPL;0.002045989;0.69360959;1.294;-9.956637657;-10.25639838;-9.656876938
NPL;0.001180679;0.859266207;1.296;-9.957240093;-10.25702085;-9.657459333
NPL;0.002044842;1.259404755;1.299;-9.958143749;-10.25795481;-9.658332692
WMT;0.002142014;1.283747162;1.305;-9.959951059;-10.25982355;-9.660078571
WMT;0.00348253;1.289405433;1.307;-9.960553496;-10.26044671;-9.660660282
NPL;0.001749702;1.341324603;1.309;-9.961155933;-10.26107;-9.661241869
NPL;0.001746976;1.153169995;1.31;-9.961457152;-10.26138169;-9.661532616
NPL;0.001264482;0.744828304;1.318;-9.963866899;-10.26387633;-9.663857471
WMT;0.00348253;1.415096431;1.319;-9.964168118;-10.2641883;-9.664147938
WMT;0.001466714;1.012086015;1.32;-9.964469336;-10.2645003;-9.664438374
NPL;0.003497816;1.463635081;1.33;-9.967481521;-10.26762201;-9.667341028
NPL;0.000887256;0.744828303;1.341;-9.970794923;-10.27105948;-9.670530366
TPL;0.000500246;1.181187542;1.342;-9.971096142;-10.27137216;-9.67082012
TPL;0.000678613;0.90051998;1.351;-9.973807108;-10.2741877;-9.673426513
NPL;0.00108233;1.10905542;1.352;-9.974108326;-10.2745007;-9.673715957
NPL;0.001275635;0.443820376;1.353;-9.974409545;-10.27481372;-9.674005371
TPL;0.000906754;0.680233068;1.355;-9.975011982;-10.27543986;-9.674584105
NPL;0.002743561;1.029152902;1.36;-9.976518074;-10.27700575;-9.6760304
NPL;0.001532759;0.994617518;1.363;-9.977421729;-10.27794565;-9.676897806
NPL;0.002762804;0.90051998;1.367;-9.978626603;-10.27919929;-9.678053915
NPL;0.001325451;0.792740211;1.369;-9.97922904;-10.2798263;-9.678631784
NPL;0.001826538;0.939601471;1.37;-9.979530258;-10.28013984;-9.678920672
NPL;0.001782659;0.976728052;1.374;-9.980735132;-10.28139435;-9.680075917
NPL;0.00090744;0.744828304;1.378;-9.981940006;-10.28264934;-9.681230668
NPL;0.000948311;1.093748138;1.384;-9.983747317;-10.28453276;-9.68296187
NPL;0.00090488;1.10905542;1.389;-9.985253409;-10.28610313;-9.684403691
NPL;0.001798981;0.547576413;1.39;-9.985554627;-10.28641729;-9.684691962
TPL;0.001310642;1.062152864;1.394;-9.986759501;-10.28767426;-9.685844742
NPL;0.00090171;1.045836231;1.395;-9.987060719;-10.28798858;-9.68613286
TPL;0.000898492;0.859266207;1.396;-9.987361938;-10.28830293;-9.686420947
NPL;0.001702732;0.815584379;1.399;-9.988265593;-10.28924616;-9.687285024
NPL;0.002727307;1.029152903;1.405;-9.990072904;-10.29113346;-9.689012347
NPL;0.001307357;0.920317871;1.415;-9.993085088;-10.29428141;-9.691888763
TPL;0.001507857;0.994617518;1.425;-9.996097273;-10.29743244;-9.69476211
NPL;0.001314447;1.138754457;1.435;-9.999109457;-10.30058652;-9.697632393
